epeak_keV,threshold_photon_flux_ph_cm2_s,threshold_energy_flux_erg_cm2_s,source_counts_at_threshold,background_counts_total,background_counts_cxb,background_counts_internal,trigger_energy_min_keV,trigger_energy_max_keV,sigma0
684.374970259087,2.9296481807494024,4.2117352715128065e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
703.1675547946463,2.9228167755695735,4.250485372619881e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
722.4761740317567,2.916176360402377,4.2888372954210414e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
742.3149980177936,2.909721719688654,4.326778458494959e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
762.6985859023443,2.903447765052581,4.364297154847884e-07,102.38229021186041,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
783.6418966217519,2.8973495332665813,4.401382540454541e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
805.1602998770538,2.8914221841977996,4.4380246206627157e-07,102.38229021186038,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
827.2695874133706,2.885660998736773,4.474214234667662e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
849.9859846090154,2.880061376709378,4.50994303825696e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
873.3261623828438,2.874618834773469,4.545203485020023e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
897.3072494285638,2.8693290043019593,4.5799888062090973e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
921.9468447849993,2.8641876292543307,4.6142929894307374e-07,102.38229021186038,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
947.2630307515245,2.859190564038747,4.648110756338249e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
973.2743861581505,2.8543337713671177,4.6814375394867686e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
1000.0,2.8496133201055507,4.7142694585035365e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
1027.45948544618,2.845025383122704,4.7466032957167007e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
1055.672994233329,2.840566235138578,4.778436471376621e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
1084.6612314544045,2.836232250576308,4.809767018594416e-07,102.38229021186038,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
1114.4454707535624,2.8320199014194767,4.840593558113239e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
1145.0475699382812,2.827925755077426,4.870915273018774e-07,102.38229021186041,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
1176.4899870201853,2.823946472261003,4.900731883486621e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
1208.7957966963438,2.820078804871061,4.93004362165567e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
1241.9887072831307,2.8163195939019543,4.958851206708277e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
1276.0930781150919,2.812665767362188,4.987155820230202e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
1311.1339374215643,2.809114338214213,5.014959081915582e-07,102.38229021186041,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
1347.1370006941845,2.8056624023352894,5.042263025675055e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
1384.128689558757,2.8023071365011845,5.069070076198301e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
1422.136151165336,2.7990457963943496,5.095383026015804e-07,102.38229021186041,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
1461.1872781107472,2.7958757146380915,5.121205013098558e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
1501.3107289081727,2.792794298858127,5.146539499028802e-07,102.38229021186038,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
1542.5359490188207,2.789799029772774,5.171390247769512e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
1584.893192461114,2.786887459312895,5.195761305055495e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
1628.41354401325,2.784057208772616,5.219656978424372e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
1673.1289420254443,2.781305966991681,5.243081817901519e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
1719.0722018585745,2.778631488570219,5.266040597349184e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
1766.2770399664428,2.776031592116558,5.288538296486463e-07,102.3822902118604,163.7833335785251,163.7833335785251,0.0,10.0,1000.0,8.0
